Column1,Class
 Database crashed,L0
 cursor tracking is not database aware,L0
 problem with replication,L0
"  db.runCommand({serverStatus : 1, repl : 2}) FAILS with authentication",L0
 Mongodb keep crashing/segfaulting,L0
" lsn used in writetodatafiles, and shouldn't be",L0
 mongodump shouldn't use QueryOption_Exhaust when connected to mongos,L0
 secondary cannot recover after failure,L0
 mongo.exe crashes on windows 7 x64 on startup,L0
" $or queries don't return results unless specifying sort, when an index is used",L0
 Namespace length past 79 characters results in an assertion error in mongodb 1.8 and prevents dumping of data using mongodump,L0
 Error: moveChunk commit failed... terminating.,L0
 mmap private failed with out of memory - Assertion: 13636:createPrivateMap failed,L0
 Got signal: 11 (Segmentation fault),L0
 High CPU wait load on capped collection reaching it's limit,L0
 mongos consistently locks up distributing parallel updates to multiple shards -- cluster unusable,L0
 exception 13636 createPrivateMap failed when journal = true,L0
 V1 index broken for BinData larger than 32 bytes,L0
 mongod --auth must disable __system access,L0
 Add index cause segmentation fault: too many open files,L0
 mongodb crashing on repairDatabase,L0
 reIndex() on secondary drops all indexes,L0
 crash on slave replication,L0
 memory leak with journaling in windows,L0
 mongod segmentation fault,L0
 Assertion failure 0 db/ops/update.cpp 691,L0
 corruption during '$set' operation,L0
 Deadlock of secondary trying to sync the oplog if index versions are mixed on master,L0
 inserts take long time after several hours insert operation,L0
 Followed build process but instead of getting primary and replica sets = getting all primary sets that cannot talk to eachother,L0
 RedHat / CentOS repositories offline,L0
 Journal rotate with paranoid journaling caused abort,L0
 Error in replica_set_shard_version test,L0
 Replication tests failing on drop_dups.js,L0
 shadow-utils dependency not correctly identified in mongo-10gen-server rpm,L0
" replSet initial sync failing, error applying oplog 0 assertion db/pdfile.h:488",L0
 mongos OOM,L0
 replica sets mod_move.js failure on Concurrency builder,L0
 mongo/platform folder missing after c++ client driver installation,L0
 The _id index broken,L0
 mongod crash,L0
 make query optimizer code not access data in constructor,L0
" ""uncaught exception: map reduce failed"" in zbigMapReduce.js",L0
 Invalid replica set connection management,L0
 can't successfully replicate our shards anymore. replication isn't using memory efficiently and linux is invoking oom_killer to kill mongod. servers replicated earlier on same config (with smaller data sets) are still working fine...,L0
 couldn't initiate : assertion db/pdfile.cpp:437,L0
 Mongo crashes if query for collection in new db,L0
  auth_slaveok_routing.js failing all over,L0
 replset1.js fails after waiting for oplog to be built on secondaries,L0
 Get Solaris build working,L0
 Seg fault in explain3.js,L0
 Seg fault in count8.js,L0
 Socket exception in zbigMapReduce.js,L0
 assert failed on random late check in sharding_balance4.js,L0
 invalid reconfig in replsettest,L0
 Solaris build failing on shard_gle_insert.js,L0
 MongoDB Crash Under High Load,L0
 can't read from replset member in capped_id.js,L0
 Mongos crashes consistently under high load for various reasons,L0
 ExpressionNoOp / ExpressionConstant BSON round tripping issues,L0
" Mongod give error ""too many opens file"" ",L0
 DR102 too much data written uncommitted,L0
 addUser appears to fail when KeyFile used in a Sharding configuration,L0
 socket exception [SEND_ERROR] on Mongo Sharding,L0
" Mongos crashed because of ""got not master"" with signal 11",L0
 _addSpecial() flags not used by DBCollection.getCount() method eg collection.find()._addSpecial().count(),L0
 Replica Secondaries won't start: ERROR: writer worker caught exception: Invalid BSONObj size,L0
 Replica set crash with segfault,L0
 Batched oplog application increases frequency of idempotency violations,L0
 test failure in replset8.js,L0
 Fatal error when upgrading to Mongo 2.2.0,L0
" mongorestore on 2.2 fails with ""Invalid ns""",L0
 jstests/tool/dumpfilename1.js fails on Windows with Boost::filesystemv3 ,L0
 timeout in repl_monitor_stress.js waiting for node to become master,L0
 timing error in replsets_priority1.js,L0
 RHEL5.7 Subscription nightly compile failing.,L0
 SocketException: remote: 10.81.221.12:54344 error: 9001,L0
 PHP getLastError wrong when Sharding,L0
 MongoS blocks all requests to sharded collection,L0
 reversecursor.js is failing in jstests/slowNightly/sharding_passthrough.js,L0
" Error ""too many open file"" ",L0
 BSON Obj Behavior while  storing data into Database,L0
 C++ driver fassert 16464 when runGlobalInitializersOrDie is not called,L0
 Logging using LogLevels and LabledLevels is broken,L0
 dur_passthrough tests failing on slow machines,L0
 Unable to start DB with > 1024 files after upgrading for 2.2.x to 2.4.0-rc0,L0
 Killing parallel M/R jobs causes temporary collection corruption,L0
 features2.js segfaulting,L0
 Broken indexes,L0
 dur_passthrough.js segfault,L0
 mongodb is uninstallable on Debian Squeeze from the official repos,L0
 Prototype extensions get saved along with primitive data,L0
 Writes fail when new files cannot be preallocated even in the existing data file has space,L0
 Replicable segfault while storing or accessing documents,L0
 killOp() is not working for aggregate framework,L0
 Index changes lost during initial sync period,L0
 Resource constraints cause premature OOM and segfault,L0
 v8 ObjectTracker isn't tracking uncollected objects,L0
 Mongo crashed,L0
" Shell ignores modified object's ""_id"" field",L0
 MongoDB only uses small amount of RAM,L0
 search for mongod PID file in wrong location,L0
 Index key order is not maintained,L0
 DR102 too much data written uncommitted,L0
 Mongod instance (2.4.4) crashed with the following errors with segmentation fault ,L0
 Signal 11 during writeback_bulk_insert.js on Nightly Linux 64-bit,L0
 immediate exit due to unhandled exception,L0
 Mongodb SEGFAULTS with a null pointer,L0
 Very large documents can cause premature migration commit,L0
 Deadlock holding global write lock when mongod started without --fork,L0
 Added replica set member doesn't have indexes,L0
" setShardVersion failing ""client version differs from config's for collection"" message",L0
 Mongod doesn't start with --keyFile option on windows,L0
 Cursor hangs on compound index query,L0
 Mongos process is consuming more swap memory ,L0
 Unable to start Secondary due error:- Assertion: 10320:BSONElement: bad type 101,L0
" client / secondExample failing on Linux 32-bit (MCI only, not Buildbot)",L0
 Mongo - collection gets stuck after long running client connection ,L0
 MSI build fails for non-enterprise msi,L0
 snmp module not initialized ,L0
 rollback4.js failing intermittently on multiple buildvariants,L0
 OS X builds don't run on older versions of the os,L0
 No auditing done by grantRolesToUser or revokeRolesFromUser,L0
 DropAllRolesFromDatabase doesn't record in audit log,L0
 corruption of a secondary memeber,L0
 Bad stored Javascript causes db.eval() to segfault the server,L0
 Balancer not working,L0
" Mongo crashes with corrupted   Deleted record list corrupted in bucket 11, link number 28, invalid link is 1220333744:3f2218b0, throwing Fatal Assertion",L0
 While fsyncLock() to secondary stoping write operations also,L0
 updates not working at deeper level of array/object,L0
 SNMP Agent does not start,L0
 enterprise windows build cannot start with GSSAPI,L0
 out of memory,L0
 write command overhead too large for large batch sizes,L0
 Large $in queries are several orders of magnitude slower,L0
 Secondary repeatedly fails to sync,L0
 WriteBatchExecutor doesn't handle PageFaultException during inserts.,L0
 Write command with invalid write concern crashes mongos in a mixed cluster.,L0
 Error in writing into MongoDB: !loc.isNull(),L0
 Cannot start mongodb,L0
