"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
425594,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Extern property with package visibility incorrectly initialized by default class constructor with default value","2014-06-30 19:58:15"
426360,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Model Explorer] Backporting model explorer revealer code","2014-01-27 05:36:53"
430244,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Hangs when exporting pdf to networked drive","2014-03-13 03:11:39"
431008,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Usability] There are two different ways to load additional models which are called completely different things","2014-03-25 08:59:48"
432954,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Profiles] updating profile does not trigger re-apply if Profile URI has a user defined value","2017-08-07 10:50:24"
437737,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Link new model as sub-model into existing model","2014-06-19 06:56:09"
438596,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Package import fails due to illegalValueException on association nodes","2014-11-28 05:57:37"
456429,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[UMLPropertiesView] Can't set default value for a literal","2017-08-07 09:25:01"
457702,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Releng][General][Xtext] integrate the mwe2 workflow and xtend generation at the build phase for the plugin org.eclipse.papyrus.infra.gmfdiag.css.xtext","2018-03-02 03:43:32"
459170,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Renaming a model causes random files to be created","2015-03-02 10:45:04"
459772,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[naming convention]: add the management of overwrite for Advice","2015-02-12 08:17:26"
459773,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[naming convention]: add the management of after/before feature in respect of overwrite patterns","2015-02-12 08:19:49"
459776,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[naming convention]: modify SetValuesAdviceConfiguration.ecore to add a specilation of for QueryExecutionValue","2015-02-12 08:24:17"
460235,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","ModelSet.addResourceLoadStateListener throws NPE","2015-02-18 07:52:17"
461831,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Dependence not declared between ""org.eclipse.papyrus.infra.emf"" and ""org.eclipse.papyrus.infra.services.edit""","2015-03-10 10:46:17"
462223,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Keep selection in model explorer when toggling between simple and advanced modes","2015-03-16 08:23:31"
462685,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","ValidateModelCommand stuck in infinite for-loop (sometimes)","2015-03-20 09:43:12"
462791,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Profiles][UMLPropertiesView] Provide ability to unset optional tagged values.","2017-08-07 10:46:51"
