"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
444574,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","Could not retrieve declared fields (err_grp: 5f64d09e)","2018-10-29 18:11:33"
451776,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","[jdt] StackOverflowError in cflow of LambdaExpression.traverse","2014-11-18 06:18:54"
453938,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","[platform] Internal Error","2014-12-03 02:39:28"
454701,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","[jdt] NPE in SourceTypeBinding.resolveTypesFor","2014-12-10 08:09:41"
454702,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","[jdt] NPE in ParameterizedMethodBinding.<init>","2014-12-10 07:43:44"
455358,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","[rec] Error in JDT Core during AST creation","2014-12-16 13:39:05"
539543,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","Java Problem: The compiler compliance specified is 10 but a JRE 1.8 is used","2018-09-27 05:22:06"
539544,"JDT","Core","jdt-core-inbox","UNCONFIRMED"," ---","Java Problem: Syntax error on token ""module"", interface expected","2019-01-25 03:40:46"
450221,"JDT","Core","shankhba","UNCONFIRMED"," ---","[jdt] NPE in ProblemReporter.conditionalArgumentsIncompatibleTypes","2014-12-16 10:59:00"
549809,"JDT","Core","jarthana","NEW"," ---","[16] Compiler support for preview APIs in Java SE platform","2021-03-09 23:26:55"
339984,"JDT","Core","jarthana","NEW"," ---","Breakpoint hit twice","2020-06-04 11:17:28"
150657,"JDT","Core","aboyko","NEW"," ---","[DOM] AST API reusable type binding environment (open up compiler loop)","2020-06-05 18:34:52"
195810,"JDT","Core","amj87.iitr","NEW"," ---","Unnecessary call of  TypeReference#isValidBinding()","2020-07-07 17:46:48"
203964,"JDT","Core","amj87.iitr","NEW"," ---","Consider removing NamingConventions#convertCharsToString and convertStringToChars","2010-09-07 15:16:37"
251865,"JDT","Core","amj87.iitr","NEW"," ---","[assist] Improve relevance based on case","2011-05-23 06:05:11"
308820,"JDT","Core","amj87.iitr","NEW"," ---","[content assist] constructor completion taking 15-20 seconds","2020-07-09 18:33:28"
314170,"JDT","Core","amj87.iitr","NEW"," ---","[assist] Parsing javadocs for content assistance should be more flexible","2012-11-01 07:16:51"
323342,"JDT","Core","amj87.iitr","NEW"," ---","JavaConventions#validatePackageName(..) allows creation of package whose name begins with ""java""","2019-11-13 00:02:53"
335029,"JDT","Core","amj87.iitr","NEW"," ---","[code assist] no import for inner non-public interface","2020-05-22 13:18:52"
336620,"JDT","Core","amj87.iitr","NEW"," ---","[assist]No proposal for constructor context information when invoking code completion inside an anonymous abstract class's constructor","2020-05-22 13:18:49"
340796,"JDT","Core","amj87.iitr","NEW"," ---","[content assist] Completion should propose the classes implementing the interface","2011-03-24 05:34:39"
343987,"JDT","Core","amj87.iitr","NEW"," ---","Code assist doesn't help when implementing an inner interface from a class in another package","2020-06-24 15:15:20"
352442,"JDT","Core","amj87.iitr","NEW"," ---","Compiler does not detects the unreachable code","2011-07-19 08:29:24"
353002,"JDT","Core","amj87.iitr","NEW"," ---","Add a new token location for content assist inside catch clause","2011-07-25 08:49:19"
361331,"JDT","Core","amj87.iitr","NEW"," ---","Allow to filter certain types from 'Unused object allocation' warning","2014-08-17 10:42:28"
