"Bug ID","Product","Component","Assignee","Status","Resolution","Changed","Summary",,
425594,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-06-30 19:58:15","Extern property with package visibility incorrectly initialized by default class constructor with default value",,
426360,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-01-27 05:36:53"," Backporting model explorer revealer code",Model Explorer,
430244,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-03-13 03:11:39","Hangs when exporting pdf to networked drive",,
431008,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-03-25 08:59:48"," There are two different ways to load additional models which are called completely different things",Usability,
432954,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 10:50:24"," updating profile does not trigger re-apply if Profile URI has a user defined value",Profiles,
437737,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-06-19 06:56:09","Link new model as sub-model into existing model",,
438596,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-11-28 05:57:37","Package import fails due to illegalValueException on association nodes",,
456429,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 09:25:01"," Can't set default value for a literal",UMLPropertiesView,
457702,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-03-02 03:43:32"," integrate the mwe2 workflow and xtend generation at the build phase for the plugin org.eclipse.papyrus.infra.gmfdiag.css.xtext",Releng,General,Xtext,
459170,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-03-02 10:45:04","Renaming a model causes random files to be created",,
459772,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-12 08:17:26",": add the management of overwrite for Advice",naming convention,
459773,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-12 08:19:49",": add the management of after/before feature in respect of overwrite patterns",naming convention,
459776,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-12 08:24:17",": modify SetValuesAdviceConfiguration.ecore to add a specilation of for QueryExecutionValue",naming convention,
460235,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-18 07:52:17","ModelSet.addResourceLoadStateListener throws NPE",,
461831,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-03-10 10:46:17","Dependence not declared between ""org.eclipse.papyrus.infra.emf"" and ""org.eclipse.papyrus.infra.services.edit""",,
462223,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-03-16 08:23:31","Keep selection in model explorer when toggling between simple and advanced modes",,
